Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Catalogs Filters,Chrome 96.0.4664.45,,,2021-12-03 22:48:58,2021-12-03 22:51:22,2m - 24.246s,PASSED
,,,,,,,
Test Cases/PrioTicket Catalog/Catalog Active Inactive/direct_catalog_active_filter,Chrome 96.0.4664.45,Here we are verifing the Active Filter feature of direct catalogs,,2021-12-03 22:48:59,2021-12-03 22:50:26,1m - 27.454s,PASSED
"callTestCase(findTestCase(""Marketplace Redirection Catalogs/marketplace_redirection_catalog""), null)",Chrome 96.0.4664.45,,,2021-12-03 22:49:00,2021-12-03 22:49:40,39.802s,PASSED
"callTestCase(findTestCase(""PrioTicket Catalog/Catalog Active Inactive/catalog_selection""), null)",Chrome 96.0.4664.45,,,2021-12-03 22:49:40,2021-12-03 22:49:45,4.404s,PASSED
delay(5),Chrome 96.0.4664.45,,,2021-12-03 22:49:45,2021-12-03 22:49:50,5.022s,PASSED
"click(findTestObject(""PrioTicket Catalog Objects/Catalog Active Inactive Objects/direct_active_button""))",Chrome 96.0.4664.45,,,2021-12-03 22:49:50,2021-12-03 22:49:51,1.123s,PASSED
"active_products = findWebElements(findTestObject(""PrioTicket Catalog Objects/Catalog Active Inactive Objects/toggle_button_listing""), 2).size()",Chrome 96.0.4664.45,,,2021-12-03 22:49:51,2021-12-03 22:49:52,1.260s,PASSED
"println(""No.of Active Products:"" + active_products)",Chrome 96.0.4664.45,,,2021-12-03 22:49:52,2021-12-03 22:49:52,0.002s,PASSED
if (active_products >= 10),Chrome 96.0.4664.45,,,2021-12-03 22:49:52,2021-12-03 22:50:01,8.796s,PASSED
"active_products1 = findWebElements(findTestObject(""PrioTicket Catalog Objects/Catalog Active Inactive Objects/toggle_button_listing""), 2).size()",Chrome 96.0.4664.45,,,2021-12-03 22:50:01,2021-12-03 22:50:05,4.539s,PASSED
"println(""No.of Active Products:"" + active_products1)",Chrome 96.0.4664.45,,,2021-12-03 22:50:05,2021-12-03 22:50:05,0.003s,PASSED
